iteration,delta
1,0.871999979019165
2,0.7114549875259399
3,0.6199880838394165
4,0.5625696182250977
5,0.5150363445281982
6,0.47898221015930176
7,0.450242280960083
8,0.42558860778808594
9,0.4034910202026367
10,0.3829507827758789
11,0.36358022689819336
12,0.34526824951171875
13,0.3279256820678711
14,0.31148242950439453
15,0.2958803176879883
16,0.281069278717041
17,0.26700544357299805
18,0.2536487579345703
19,0.24096202850341797
20,0.2289113998413086
21,0.21746444702148438
22,0.2065901756286621
23,0.1962599754333496
24,0.1864471435546875
25,0.1771240234375
26,0.16826820373535156
27,0.15985393524169922
28,0.15186119079589844
29,0.14426898956298828
30,0.1370553970336914
31,0.1302022933959961
32,0.12369251251220703
33,0.1175079345703125
34,0.1116323471069336
35,0.10605049133300781
36,0.10074806213378906
37,0.09571075439453125
38,0.09092521667480469
39,0.0863790512084961
40,0.08205986022949219
41,0.0779571533203125
42,0.07405948638916016
43,0.07035636901855469
44,0.06683826446533203
45,0.06349658966064453
46,0.060321807861328125
47,0.057305335998535156
48,0.05444049835205078
49,0.051718711853027344
50,0.049132347106933594
51,0.046675682067871094
52,0.044342041015625
53,0.04212474822998047
54,0.04001903533935547
55,0.038018226623535156
56,0.0361175537109375
57,0.03431129455566406
58,0.03259563446044922
59,0.030965805053710938
60,0.029417991638183594
61,0.02794647216796875
62,0.026549339294433594
63,0.025221824645996094
64,0.02396106719970703
65,0.02276325225830078
66,0.02162456512451172
67,0.02054309844970703
68,0.0195159912109375
69,0.018540382385253906
70,0.01761341094970703
71,0.016733169555664062
72,0.015895843505859375
73,0.015101432800292969
74,0.014346122741699219
75,0.013628959655761719
76,0.012948036193847656
77,0.012300491333007812
78,0.011685371398925781
79,0.01110076904296875
80,0.010545730590820312
81,0.010018348693847656
82,0.009517669677734375
83,0.009041786193847656
84,0.008589744567871094
85,0.008160591125488281
86,0.007752418518066406
87,0.007365226745605469
88,0.00699615478515625
89,0.0066471099853515625
90,0.006314277648925781
91,0.0059986114501953125
92,0.00569915771484375
93,0.005414009094238281
94,0.005143165588378906
95,0.004885673522949219
96,0.004641532897949219
97,0.0044097900390625
98,0.004189491271972656
99,0.003979682922363281
100,0.003780364990234375
