episode,eps,throughput,collision_rate,avg_reward_per_agent,avg_energy_per_agent,loss
50,0.778312557068642,0.0,0.0,-0.014055749724022463,0.004161999756237492,0.8356113661839454
100,0.6057704364907278,0.0,0.0,-0.013300749777394231,0.0033819999995175747,1.9290505237281323
150,0.47147873742168567,0.0,0.0,-0.012928499803558225,0.003003500025020912,2.1765921246409414
200,0.3669578217261671,0.0,0.0,-0.013777249745966402,0.003835999773815274,1.8507024150848388
250,0.285607880564032,0.0,0.0,-0.012698749818329816,0.002800000037299469,1.3450497069478036
300,0.22229219984074702,0.0,0.0,-0.011306249914050569,0.0014025000422261656,0.9480985821008682
350,0.1730128104744653,0.0,0.0,-0.012089999859774252,0.002200000079232268,0.6479979875206947
400,0.1346580429260134,0.0,0.0,-0.014264499711367534,0.004341999912518077,0.48714484431147576
450,0.10480604571960442,0.0,0.0,-0.013885749736480648,0.003976999730803073,0.3996061479270458
500,0.08157186144027828,0.2625,0.0,0.05023574991052737,0.005684249686542899,0.36512701425254346
550,0.06348840406243188,0.264,0.0,0.04966224995112861,0.006477749800309539,0.3514937596946955
600,0.05,0.2615,0.0,0.04937562493701989,0.006136874825810082,0.33661505922973156
