episode,throughput,collision_rate,avg_reward_per_agent,avg_energy_per_agent,policy_loss,value_loss,entropy
100,0.030333333333333334,0.003,-0.01200608316467454,0.0036344166130293162,-0.00036935388479227466,0.3643552263577779,0.7896493176619211
200,0.0395,0.005666666666666667,-0.013106833151080839,0.00385599994979566,-0.00040156900931235623,0.34941864510377246,0.8079705337683359
300,0.028833333333333332,0.0033333333333333335,-0.012634541465847481,0.003890374923629376,-0.0003416054376187046,0.329852635661761,0.7918249567349752
400,0.0345,0.002,-0.010857874869097334,0.003460791624849662,-0.0002865962166591259,0.5815557539463043,0.7689211070537567
500,0.03933333333333333,0.004333333333333333,-0.011655333210655953,0.003132416645918662,-0.0004012515100961049,0.7056980927785238,0.6487766106923422
600,0.0385,0.0026666666666666666,-0.01050433323335892,0.0031080833093922898,-9.780689879942035e-05,0.7074789702892303,0.6712412635485331
700,0.027333333333333334,0.0011666666666666668,-0.009931666595031856,0.002381250001412506,-0.0002436789335963733,0.2243510534365972,0.5228041708469391
800,0.0385,0.0035,-0.011060291569097899,0.0028877916500593226,-0.000408051913254881,0.3386574685573578,0.5883301297823588
900,0.034666666666666665,0.003,-0.011351333163290594,0.0036567499436787327,-0.0012587446267328568,0.41533994177977246,0.7796466052532196
1000,0.032,0.0021666666666666666,-0.012186124764901857,0.0046044581953319725,-0.0012813535082386955,0.276346097389857,0.7375738322734833
1100,0.04733333333333333,0.004333333333333333,-0.010192124821915059,0.004112541593048566,-0.0002898540407845947,0.29821127156416577,0.7931856115659078
1200,0.04133333333333333,0.0033333333333333335,-0.010604333224357106,0.003199749973951839,-0.0006072710948258712,0.2299469287196795,0.6699653963247935
1300,0.0515,0.0055,-0.01130437482073709,0.004003124941780698,-7.102966109121904e-05,1.0330328345298767,0.8019543985525767
1400,0.036,0.0026666666666666666,-0.011164083151578477,0.004114083241516103,0.0003327039941602254,0.20652146140734354,0.8092121283213297
1500,0.0475,0.005666666666666667,-0.011968999794388462,0.00439983324757001,-0.00019282102150712058,0.3775113771359126,0.8338263730208079
1600,0.024166666666666666,0.002,-0.011646708220689713,0.0027229583280471465,-2.040694141195824e-05,0.24678833534320196,0.6463700731595358
1700,0.0325,0.0021666666666666666,-0.010028041601268342,0.0023801249939909516,-0.0003437160468700758,0.1341054911414782,0.45403437316417694
1800,0.04933333333333333,0.005666666666666667,-0.011306624856918157,0.0034045416367201446,-4.798163904603155e-05,0.2285106455286344,0.6895582179228464
1900,0.04016666666666667,0.0026666666666666666,-0.011204083208169322,0.003616166622300322,-0.0001128863282306251,0.43389401336510974,0.7634881138801575
2000,0.04,0.003833333333333333,-0.010952166546776426,0.0032621666402361978,-0.0009044139774050386,0.4818823387225469,0.7054667671521505
2100,0.04683333333333333,0.0031666666666666666,-0.008844083212233575,0.0034019999605952762,-0.0013566095713759552,0.5781709253787994,0.7083588143189748
2200,0.034666666666666665,0.0031666666666666666,-0.010029374913632637,0.0024977083295040455,-0.0007687082958485192,0.22850437462329865,0.48250142733256024
2300,0.041,0.003833333333333333,-0.011300749865185936,0.0034903333018689105,-0.00029018282900021103,0.4420146544774373,0.7404503921667734
2400,0.044833333333333336,0.004333333333333333,-0.009846749876490018,0.003169666641547034,5.396018505658221e-05,0.4229604999224345,0.6698767244815826
2500,0.04033333333333333,0.004166666666666667,-0.011200624866959212,0.0033389583067037166,-7.456978106349747e-05,0.18229412784179053,0.7232045431931814
2600,0.045,0.005166666666666667,-0.011571374849037966,0.003444291634970189,-0.000432491642034923,0.29550901055336,0.7020362019538879
2700,0.043166666666666666,0.005833333333333334,-0.011828374812355226,0.0037033749585583184,-7.570097766196326e-05,0.4171235114336014,0.7920253872871399
2800,0.05483333333333333,0.007,-0.012017833155570163,0.004060749945250184,-0.0001243232209041286,0.49213487406571704,0.7868370513121287
2900,0.06066666666666667,0.0055,-0.00966149985193139,0.004199833272102599,-0.0002797834033845259,0.9136043389638265,0.8068859378496805
3000,0.0365,0.0035,-0.010504249838457326,0.0034196666299443072,-0.00023840805071806415,0.23696678380171457,0.7243810395399729
