episode,throughput,collision_rate,avg_reward_per_agent,avg_energy_per_agent,policy_loss,value_loss,entropy
100,0.16833333333333333,0.021666666666666667,0.014973042273239116,0.006702374857035466,-3.7120679116930955e-05,2.231475313504537,0.8843847215175629
200,0.1735,0.024,0.015912458965457822,0.005568374915223103,0.0003259771140680101,1.6644434332847595,0.9373818238576254
300,0.20583333333333334,0.03333333333333333,0.01715679260479616,0.007239874847989995,-0.0005381785471882949,1.3364748358726501,0.9156565467516581
400,0.23183333333333334,0.0425,0.019085251113026364,0.0069393332202647194,-0.001035721410686789,3.8250559171040854,1.032433529694875
500,0.2475,0.052,0.01633350134601642,0.007434833220050981,-0.0005410142833716473,1.9726245999336243,1.037708322207133
600,0.22516666666666665,0.03383333333333333,0.02134300090606848,0.006939916550356429,-0.00011042232503919817,2.94871195157369,0.9774852395057678
700,0.21616666666666667,0.03383333333333333,0.020099375893221198,0.0062268749003609025,-0.00012091715996576102,1.462792158126831,0.9633119404315948
800,0.22416666666666665,0.041833333333333333,0.01642025116394992,0.007308499878757478,-0.00039862137738966297,1.3999942143758137,0.9911627173423767
900,0.19433333333333333,0.025166666666666667,0.018200125738988087,0.006819874856368794,-0.0006220251869913559,0.962647000948588,0.9075837731361389
1000,0.22383333333333333,0.042833333333333334,0.01565912617458283,0.007001291546252711,-0.0011010938999245212,1.843607763449351,0.9693383773167928
1100,0.20633333333333334,0.032,0.018599584166625088,0.005758749900249919,0.000317971111799098,2.323158303896586,0.8797146677970886
1200,0.202,0.028166666666666666,0.019877375718050948,0.005829708235454745,-0.00017318894620984201,2.340580940246582,0.9229033390680949
1300,0.24733333333333332,0.0495,0.017248584637369883,0.007238083209958859,7.779171257427109e-05,2.6285515228907266,0.9787248174349467
1400,0.23716666666666666,0.042166666666666665,0.019887209418874893,0.00674487488825495,0.00011647626772171016,2.8991246620814004,0.9711926678816477
1500,0.26116666666666666,0.056,0.01777916812400023,0.006823333200901591,3.794332248322855e-06,2.9473326603571572,0.8639549612998962
1600,0.2125,0.034666666666666665,0.018537500898213086,0.005994166558860646,-3.55082497192812e-05,1.1327871282895405,0.8846152126789093
1700,0.2145,0.036,0.018290667620274082,0.006273916564202712,-0.00045794999561621363,2.7730946143468223,0.9209186434745789
1800,0.20916666666666667,0.0405,0.013931792782066623,0.006666124891741977,-0.0009518986325322368,1.5422235131263733,0.9674109220504761
1900,0.2515,0.0575,0.01392908486975163,0.007739249881531578,-0.00032025356975899183,1.5195771257082622,1.0403549869855244
2000,0.194,0.023833333333333335,0.02033800060110904,0.005375333242913863,-9.234040965866441e-05,1.1626655062039692,0.882449746131897
2100,0.2195,0.04016666666666667,0.01679770940479648,0.006492708231361273,-0.0008735550487957155,1.6098777254422505,0.9753280679384867
2200,0.22966666666666666,0.036166666666666666,0.02153520923575464,0.006474374891937865,-0.00010048180857665419,1.3318300445874531,0.9635301828384399
2300,0.23916666666666667,0.041166666666666664,0.020666584432610154,0.007402999875620784,-5.880286086412667e-05,2.2465917269388833,1.0174993475278218
2400,0.24433333333333335,0.052833333333333336,0.01473579310181473,0.007858374866986803,-0.00035344113707343655,2.3931041955947876,0.9968287646770477
2500,0.21483333333333332,0.031166666666666665,0.021395000768636235,0.005494999894232024,-0.0006187990881153516,2.1789286931355796,0.789238691329956
2600,0.2055,0.036333333333333336,0.01626595928882792,0.005697374907884902,-0.00039120195384996964,1.8731152017911274,0.860668400923411
2700,0.22116666666666668,0.043333333333333335,0.015620167807011361,0.006295249898374701,-0.00020785917338798457,1.7776240507761638,0.9244711399078369
2800,0.22283333333333333,0.0385,0.018799792690658554,0.006486874887273492,-0.00011507779653892787,1.7577791213989258,0.9727270007133484
2900,0.248,0.049833333333333334,0.017853001304577145,0.007169083215218659,-0.0005208774313603115,2.790953278541565,1.0191558599472046
3000,0.23416666666666666,0.051,0.014932626327349378,0.006429458227260814,-0.0007131827806006186,2.935420592625936,0.864481786886851
